operation;operand1;size1;operand2;size2;result;resultsize;minresult;minsize;fv
&;Alpha;7;Bravo;6;Charlie;11;Delta;8;
&;Delta;8;Echo;7;Foxtrot;20;Golf;9;
&;Hotel;9;India;9;Juliett;35;Kilo;13;
&;Kilo;13;Lima;5;Mike;25;November;13;
proj;November;13;0x0;-1;Oscar;13;Papa;13;
proj;Papa;13;0x0;-1;Quebec;13;Romeo;13;
&;Romeo;13;Sierra;9;Tango;55;Uniform;21;
&;Uniform;21;Victor;5;Whiskey;41;Xray;21;
proj;Xray;21;0x0;-1;Yankee;21;Zulu;21;
proj;Zulu;21;0x0;-1;Alpha1;21;Bravo1;21;
&;Bravo1;21;Charlie1;9;Delta1;95;Echo1;37;
&;Echo1;37;Foxtrot1;5;Golf1;73;Hotel1;37;
proj;Hotel1;37;0x0;-1;India1;37;Juliett1;37;
proj;Juliett1;37;0x0;-1;Kilo1;37;Lima1;37;
&;Lima1;37;Mike1;9;November1;175;Oscar1;69;
&;Papa1;69;Quebec1;5;Romeo1;137;Sierra1;69;
proj;Sierra1;69;0x0;-1;Tango1;69;Uniform1;69;
proj;Uniform1;69;0x0;-1;Victor1;69;Whiskey1;69;
&;Whiskey1;69;Xray1;9;Yankee1;335;Zulu1;133;
&;Zulu1;133;Alpha2;5;Bravo2;265;Charlie2;133;
proj;Charlie2;133;0x0;-1;Delta2;133;Echo2;133;
proj;Echo2;133;0x0;-1;Foxtrot2;133;Golf2;133;
&;Golf2;133;Golf;9;Hotel2;655;India2;261;
&;India2;261;Juliett2;5;Kilo2;521;Lima2;261;
proj;Lima2;261;0x0;-1;Mike2;261;November2;261;
proj;November2;261;0x0;-1;Oscar2;261;Papa2;261;
&;Quebec2;6;Romeo2;6;Sierra2;13;Tango2;10;
&;Uniform2;6;Tango2;10;Victor2;16;Whiskey2;10;
&;Xray2;10;Yankee2;10;Zulu2;34;Alpha3;15;
&;Bravo3;10;Alpha3;15;Charlie3;52;Delta3;24;
&;Echo3;10;Delta3;24;Foxtrot3;84;Golf3;41;
&;Hotel3;10;India3;41;Juliett3;144;Kilo3;74;
&;Kilo3;74;Whiskey2;10;Lima3;260;Mike3;139;
&;Papa2;261;Mike3;139;November3;275;Oscar3;141;
proj;Oscar3;141;0x0;-1;Papa3;77;Quebec3;77;
proj;Quebec3;77;0x0;-1;Romeo3;45;Sierra3;45;
proj;Sierra3;45;0x0;-1;Tango3;29;Uniform3;29;
proj;Uniform3;29;0x0;-1;Victor3;21;Whiskey3;21;
proj;Whiskey3;21;0x0;-1;Xray3;17;Yankee3;17;
proj;Yankee3;17;0x0;-1;Zulu3;15;Alpha4;15;
proj;Alpha4;15;0x0;-1;Bravo4;12;Charlie4;12;
&;Delta4;5;Oscar1;69;Echo4;137;Foxtrot4;69;
proj;Foxtrot4;69;0x0;-1;Golf4;69;Hotel4;69;
proj;Hotel4;69;0x0;-1;India4;69;Juliett4;69;
&;Juliett4;69;Golf3;41;Kilo4;79;Lima4;43;
proj;Lima4;43;0x0;-1;Mike4;27;November4;27;
proj;November4;27;0x0;-1;Oscar4;19;Papa4;19;
proj;Papa4;19;0x0;-1;Quebec4;15;Romeo4;15;
proj;Romeo4;15;0x0;-1;Sierra4;13;Tango4;13;
proj;Tango4;13;0x0;-1;Uniform4;10;Victor4;10;
&;Charlie4;12;Victor4;10;Whiskey4;68;Xray4;52;
